path,label,scene,label_name,split
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150718_184300_090b__-122.35324421973536_37.772113980272394.png,0,20150718_184300_090b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150718_184300_090b__-122.38458613431831_37.763521076612484.png,0,20150718_184300_090b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150718_184300_090b__-122.40477488428849_37.8071040053892.png,0,20150718_184300_090b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150718_184300_090b__-122.42663861582857_37.80913223576201.png,0,20150718_184300_090b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150720_184302_0906__-122.21893759782994_37.87172273326103.png,0,20150720_184302_0906,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150830_000650_0b07__-122.37967271362145_37.76049394246638.png,0,20150830_000650_0b07,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150830_000650_0b07__-122.40480193174041_37.757000251300894.png,0,20150830_000650_0b07,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150830_000650_0b07__-122.42961510889906_37.781052845407665.png,0,20150830_000650_0b07,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150830_000652_1_0b07__-122.27654713066907_37.77410158935401.png,0,20150830_000652_1_0b07,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20150830_000652_1_0b07__-122.32492556715802_37.720904774415736.png,0,20150830_000652_1_0b07,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160622_170157_0c64__-122.34466653421043_37.78296341833453.png,0,20160622_170157_0c64,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160622_170157_0c64__-122.34994908648167_37.78274932761714.png,0,20160622_170157_0c64,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160622_170157_0c64__-122.36854917879323_37.80694243304157.png,0,20160622_170157_0c64,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160622_170157_0c64__-122.38005631118057_37.796133787946005.png,0,20160622_170157_0c64,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160622_170157_0c64__-122.4478291812287_37.892486779170426.png,0,20160622_170157_0c64,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160622_170157_0c64__-122.485753590087_37.835957669247584.png,0,20160622_170157_0c64,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160704_204236_0c41__-122.19041500809534_37.8972978006019.png,0,20160704_204236_0c41,No-Ship,train
